date,mkt_ret
2022-01-03,0.0024377366380354507
2022-01-04,-0.008319872849923965
2022-01-05,0.006003609566451658
2022-01-06,0.007524517731129711
2022-01-07,-0.015608281509230692
2022-01-10,-0.010417436054898544
2022-01-11,0.001022723225338283
2022-01-12,-0.002529940738748658
2022-01-13,-0.00013440926003431038
2022-01-14,-0.0068243514205886405
2022-01-17,0.0070351837989026285
2022-01-18,0.006222335483431586
2022-01-19,0.0005282455804897283
2022-01-20,0.009017929655744264
2022-01-21,0.003740074738016365
2022-01-24,-0.006874339703065906
2022-01-25,0.0029500062726599907
2022-01-26,-0.007671060806631992
2022-01-27,0.0070276024104581804
2022-01-28,-0.0003994072878900232
2022-01-31,-0.0014788989083620845
2022-02-01,-0.005447436355231531
2022-02-02,0.009780330709392241
2022-02-03,-0.0012362358565504172
2022-02-04,-0.003426622577304858
2022-02-07,-0.0028170684039058366
2022-02-08,0.00425847348442679
2022-02-09,0.0029235525149126267
2022-02-10,0.003301860892767907
2022-02-11,0.003446568024063062
2022-02-14,0.01713318080696369
2022-02-15,-0.0032513201310769247
2022-02-16,-0.004097941832572299
2022-02-17,-0.006510181825983022
2022-02-18,0.004927835380603965
2022-02-21,0.009031778341767133
2022-02-22,-0.0009115796612390007
2022-02-23,-0.0067212518157002245
2022-02-24,-0.0065958497255299165
2022-02-25,0.0052047423025976085
2022-02-28,0.0059460333696275385
2022-03-01,0.00434523414644156
2022-03-02,-0.005324077658309554
2022-03-03,0.0018572905845337581
2022-03-04,0.0009334864731258258
2022-03-07,0.0017495087738321035
2022-03-08,0.006971430223585519
2022-03-09,0.001788764390197458
2022-03-10,0.005431308504575159
2022-03-11,0.0005406325559111317
2022-03-14,0.002312955189519873
2022-03-15,0.005050305806708323
2022-03-16,-0.011657246558845332
2022-03-17,-0.0025573697308584106
2022-03-18,-0.003762981234342364
2022-03-21,-0.005111022785946735
2022-03-22,-0.00220113800981347
2022-03-23,0.011959530489875168
2022-03-24,-0.006926648925545946
2022-03-25,0.007746226836731846
2022-03-28,-0.013462958172926438
2022-03-29,-0.002679080239886199
2022-03-30,0.0013020245208400449
2022-03-31,0.0046897786508742255
2022-04-01,0.00568981263834284
2022-04-04,0.006346777881599402
2022-04-05,-0.0027898005779875006
2022-04-06,-0.0036988143413165375
2022-04-07,0.006863807050057231
2022-04-08,-0.0015304345990529193
2022-04-11,-0.010205490586703374
2022-04-12,-0.009066297712027846
2022-04-13,-0.007355618288012891
2022-04-14,0.003977285952430113
2022-04-15,0.001139405888564522
2022-04-18,0.005523882832542146
2022-04-19,-0.003418021170692274
2022-04-20,0.001268317528613714
2022-04-21,0.005004723151738694
2022-04-22,-0.002474772317761907
2022-04-25,0.0036542019004592915
2022-04-26,-0.0052954075285332105
2022-04-27,-0.0029044307725205744
2022-04-28,-0.0030539031519866327
2022-04-29,-0.009566717164712317
2022-05-02,0.0038957798462846546
2022-05-03,-0.003755218721621791
2022-05-04,9.995294982149944e-05
2022-05-05,0.0038459732712472715
2022-05-06,0.003572249408239553
2022-05-09,0.0053230808717822905
