date,symbol,ret
2022-01-03,600000.SH,0.0009125113135118625
2022-01-04,600000.SH,-0.004485934206389014
2022-01-05,600000.SH,0.016001852035554605
2022-01-06,600000.SH,-0.003060843088654382
2022-01-07,600000.SH,-0.01685837181242647
2022-01-10,600000.SH,0.004397119421691189
2022-01-11,600000.SH,-0.0064131590627873585
2022-01-12,600000.SH,-0.01075244091165186
2022-01-13,600000.SH,0.0018886526582776253
2022-01-14,600000.SH,0.001619500484264561
2022-01-17,600000.SH,0.007149444354509222
2022-01-18,600000.SH,0.01951194138780148
2022-01-19,600000.SH,0.009096185406154996
2022-01-20,600000.SH,0.01743613032464488
2022-01-21,600000.SH,0.009281239751257298
2022-01-24,600000.SH,0.01640219130039494
2022-01-25,600000.SH,0.0008983893839995486
2022-01-26,600000.SH,-0.02770628372729713
2022-01-27,600000.SH,0.02307014602562959
2022-01-28,600000.SH,-0.00497640159745828
2022-01-31,600000.SH,-0.00040009446493175405
2022-02-01,600000.SH,0.007648070493373738
2022-02-02,600000.SH,-0.006242264701197013
2022-02-03,600000.SH,-0.013752707997611812
2022-02-04,600000.SH,-0.019439401948493393
2022-02-07,600000.SH,-0.010758431304160074
2022-02-08,600000.SH,0.008654839544596726
2022-02-09,600000.SH,0.008165430943040336
2022-02-10,600000.SH,0.006064602686053445
2022-02-11,600000.SH,-0.010681090814860603
2022-02-14,600000.SH,-0.005967853559362749
2022-02-15,600000.SH,-0.002707784277173102
2022-02-16,600000.SH,-0.008815702168955657
2022-02-17,600000.SH,-0.001916324108816904
2022-02-18,600000.SH,0.011947371642816666
2022-02-21,600000.SH,0.010414192662353952
2022-02-22,600000.SH,0.0066897511925195375
2022-02-23,600000.SH,-0.00442913807454954
2022-02-24,600000.SH,-0.0012952026695152493
2022-02-25,600000.SH,-0.0018419903261012154
2022-02-28,600000.SH,0.004149919231312953
2022-03-01,600000.SH,0.006312995113011133
2022-03-02,600000.SH,0.002881207095864634
2022-03-03,600000.SH,-0.0020801211377119632
2022-03-04,600000.SH,0.006145159030446952
2022-03-07,600000.SH,-0.0009088791453216868
2022-03-08,600000.SH,0.0057960085503042155
2022-03-09,600000.SH,0.010083954810438188
2022-03-10,600000.SH,-0.014499295205966399
2022-03-11,600000.SH,-0.012424090724836478
2022-03-14,600000.SH,-0.012508898784908334
2022-03-15,600000.SH,-0.018285855391774724
2022-03-16,600000.SH,-0.0184398909603971
2022-03-17,600000.SH,0.004936969266418994
2022-03-18,600000.SH,-0.006611821898168111
2022-03-21,600000.SH,-0.0031331219665282142
2022-03-22,600000.SH,0.008691036957294456
2022-03-23,600000.SH,0.025236391812552085
2022-03-24,600000.SH,-0.007618028272807342
2022-03-25,600000.SH,0.02128208573242582
2022-03-28,600000.SH,-0.012541691588585346
2022-03-29,600000.SH,-0.011053062478160819
2022-03-30,600000.SH,-0.004641979001147307
2022-03-31,600000.SH,-0.010115586474775937
2022-04-01,600000.SH,-0.003191525898993683
2022-04-04,600000.SH,0.00276661100085511
2022-04-05,600000.SH,0.0052460496157985155
2022-04-06,600000.SH,0.0135088839703433
2022-04-07,600000.SH,-0.006958008103713169
2022-04-08,600000.SH,0.0023978400835462706
2022-04-11,600000.SH,-0.02061092997827872
2022-04-12,600000.SH,-0.0043193268273958255
2022-04-13,600000.SH,-0.008666484794890158
2022-04-14,600000.SH,-0.01433177230604519
2022-04-15,600000.SH,0.010422375804249366
2022-04-18,600000.SH,-0.0005261242955451641
2022-04-19,600000.SH,-0.008757023554427819
2022-04-20,600000.SH,-0.009429206584283185
2022-04-21,600000.SH,-0.001538109615136861
2022-04-22,600000.SH,0.0018041320891872652
2022-04-25,600000.SH,0.0017617584910952363
2022-04-26,600000.SH,-0.0020087875057084
2022-04-27,600000.SH,0.0007147877667678625
